player_id;player_name;jersey_number;country;common_name;jersey_name;position;photo_url
3500;Granit Xhaka;34;Switzerland;Granit Xhaka;XHAKA;Midfielder;https://img.sofascore.com/api/v1/player/117777/image
7044;Patrik Schick;14;Czech Republic;Patrik Schick;SCHICK;Forward;https://img.sofascore.com/api/v1/player/280609/image
8221;Jonathan Tah;4;Germany;Jonathan Tah;TAH;Defender;https://img.sofascore.com/api/v1/player/227672/image
8667;Lukáš Hrádecký;1;Finland;Lukáš Hrádecký;HRÁDECKÝ;Goalkeeper;https://img.sofascore.com/api/v1/player/15219/image
8804;Jonas Hofmann;7;Germany;Jonas Hofmann;HOFMANN;Midfielder;https://img.sofascore.com/api/v1/player/142390/image
9195;Robert Andrich;8;Germany;Robert Andrich;ANDRICH;Midfielder;https://img.sofascore.com/api/v1/player/168903/image
10336;Alejandro Grimaldo García;20;Spain;Alejandro Grimaldo;GRIMALDO;Defender;https://img.sofascore.com/api/v1/player/177177/image
27133;Odilon Kossonou;6;Côte d'Ivoire;Odilon Kossonou;KOSSONOU;Defender;https://img.sofascore.com/api/v1/player/973437/image
28268;Exequiel Alejandro Palacios;25;Argentina;Exequiel Palacios;PALACIOS;Midfielder;https://img.sofascore.com/api/v1/player/822600/image
30606;Edmond Fayçal Tapsoba;12;Burkina Faso;Edmond Tapsoba;TAPSOBA;Defender;https://img.sofascore.com/api/v1/player/883262/image
32289;Victor Okoh Boniface;22;Nigeria;Victor Boniface;BONIFACE;Forward;https://img.sofascore.com/api/v1/player/978521/image
32712;Jeremie Frimpong;30;Netherlands;Jeremie Frimpong;FRIMPONG;Defender;https://img.sofascore.com/api/v1/player/970361/image
33401;Amine Adli;21;Morocco;Amine Adli;ADLI;Forward;https://img.sofascore.com/api/v1/player/991478/image
38004;Piero Martín Hincapié Reyna;3;Ecuador;Piero Hincapié;HINCAPIÉ;Defender;https://img.sofascore.com/api/v1/player/1002837/image
40724;Florian Wirtz;10;Germany;Florian Wirtz;WIRTZ;Midfielder;https://img.sofascore.com/api/v1/player/1019322/image
41411;Nathan Tella;19;England;Nathan Tella;TELLA;Forward;https://img.sofascore.com/api/v1/player/920379/image
46046;Matěj Kovář;17;Czech Republic;Matěj Kovář;KOVÁŘ;Goalkeeper;https://img.sofascore.com/api/v1/player/927366/image
49337;Josip Stanišić;2;Croatia;Josip Stanišić;STANIŠIĆ;Defender;https://img.sofascore.com/api/v1/player/927407/image
196651;Arthur Augusto de Matos Soares;13;Brazil;Arthur;ARTHUR;Defender;https://img.sofascore.com/api/v1/player/1174761/image
261630;Gustavo Adolfo Puerta Molano;32;Colombia;Gustavo Puerta;PUERTA;Midfielder;https://img.sofascore.com/api/v1/player/1174889/image
11391;Borja Iglesias Quintas;9;Spain;Borja Iglesias;IGLESIAS;Forward;https://img.sofascore.com/api/v1/player/785989/image
28239;Adam Hložek;23;Czech Republic;Adam Hložek;HLOŽEK;Forward;https://img.sofascore.com/api/v1/player/963801/image
114833;Noah Mbamba;18;Belgium;Noah Mbamba;MBAMBA;Midfielder;https://img.sofascore.com/api/v1/player/1100321/image
8403;Nadiem Amiri;11;Germany;Nadiem Amiri;AMIRI;Midfielder;https://img.sofascore.com/api/v1/player/327755/image
